instance,seed,initial_solution_signature_vns,initial_solution_signature_ivns,initial_cost_vns,initial_cost_ivns,initial_solution_shared_p_vns,initial_solution_shared_p_ivns,initial_solution_source_vns,initial_solution_source_ivns,gap_percent_vns,gap_percent_ivns,elapsed_time_seconds_vns,elapsed_time_seconds_ivns,best_cost_vns,best_cost_ivns,same_initial_signature,same_initial_cost,shared_initial_solution,shared_initial_source,paired_valid,delta_gap_ivns_minus_vns,delta_time_ivns_minus_vns
A-n33-k5,54,"1,9,16,17,13,10|32,26,24,6,29,22,7,23|20,14,27,18,28,12,5,11,8|19,4,21,30,2,25|3,15,31","1,9,16,17,13,10|32,26,24,6,29,22,7,23|20,14,27,18,28,12,5,11,8|19,4,21,30,2,25|3,15,31",1928,1928,True,True,shared_by_seed,shared_by_seed,58.39637,59.757942,0.368002,0.379001,1047,1056,True,True,True,True,True,1.3615720000000024,0.0109989999999999
A-n33-k5,55,"25,10,18,5,13,1,19,26|20,12,14,15,17,29,2|4,30,23,27,31,11|28,8,6,32,3,22,9|24,16,21,7","25,10,18,5,13,1,19,26|20,12,14,15,17,29,2|4,30,23,27,31,11|28,8,6,32,3,22,9|24,16,21,7",1989,1989,True,True,shared_by_seed,shared_by_seed,73.222389,73.222389,0.369001,0.313001,1145,1145,True,True,True,True,True,0.0,-0.056
A-n33-k5,56,"26,32,30,9,16,13,27|11,1,6,29,18,22,17,5|10,21,28,15,2,3|14,12,25,23,19,20,24,7|4,8,31","26,32,30,9,16,13,27|11,1,6,29,18,22,17,5|10,21,28,15,2,3|14,12,25,23,19,20,24,7|4,8,31",1736,1736,True,True,shared_by_seed,shared_by_seed,60.665657,53.706505,0.385002,0.821003,1062,1016,True,True,True,True,True,-6.959152000000003,0.436001
A-n33-k5,57,"26,20,4,3,16,7,30,25|32,27,21,1,9,24,12,6|22,17,11,15,2,8|10,28,23,14,18,29,5|19,31,13","26,20,4,3,16,7,30,25|32,27,21,1,9,24,12,6|22,17,11,15,2,8|10,28,23,14,18,29,5|19,31,13",1710,1710,True,True,shared_by_seed,shared_by_seed,72.919815,61.422085,0.371001,0.203002,1143,1067,True,True,True,True,True,-11.497729999999995,-0.167999
A-n33-k5,58,"10,30,20,12,6,3,8|26,23,31,25,27,13|32,17,24,4,16,2,14,1|29,28,5,9,21,7,15|11,22,19,18","10,30,20,12,6,3,8|26,23,31,25,27,13|32,17,24,4,16,2,14,1|29,28,5,9,21,7,15|11,22,19,18",1772,1772,True,True,shared_by_seed,shared_by_seed,56.127079,65.960663,0.368,0.247001,1032,1097,True,True,True,True,True,9.833583999999997,-0.120999
A-n33-k5,59,"1,9,22,5,21,26,13,28|3,7,10,14,24,27|11,25,30,29,17,4,19|32,2,18,16,23,31,20|15,6,8,12","1,9,22,5,21,26,13,28|3,7,10,14,24,27|11,25,30,29,17,4,19|32,2,18,16,23,31,20|15,6,8,12",1865,1865,True,True,shared_by_seed,shared_by_seed,66.41452,73.978821,0.368002,0.300001,1100,1150,True,True,True,True,True,7.564301,-0.0680009999999999
A-n33-k5,60,"11,23,26,20,18,25,17,15|21,32,2,8,27,4,9|22,14,6,19,24,1,28|16,13,29,30,12,7,5|31,3,10","11,23,26,20,18,25,17,15|21,32,2,8,27,4,9|22,14,6,19,24,1,28|16,13,29,30,12,7,5|31,3,10",1533,1533,True,True,shared_by_seed,shared_by_seed,42.208775,42.360062,0.359001,0.218001,940,941,True,True,True,True,True,0.1512869999999964,-0.141
A-n65-k9,31,"61,48,19,59,47,37,57,25,7,24|26,45,38,3,15,11,55,41,20|22,42,28,60,51,54,58|5,10,23,1,13,49,32,35,46|63,14,27,40,31,4|44,8,56,9,52|17,53,33,39,36,18|6,16,43,21,50,34|64,12,29,30,62|2","61,48,19,59,47,37,57,25,7,24|26,45,38,3,15,11,55,41,20|22,42,28,60,51,54,58|5,10,23,1,13,49,32,35,46|63,14,27,40,31,4|44,8,56,9,52|17,53,33,39,36,18|6,16,43,21,50,34|64,12,29,30,62|2",3962,3962,True,True,shared_by_seed,shared_by_seed,160.306641,140.289612,0.398001,0.464002,3056,2821,True,True,True,True,True,-20.017029000000008,0.066001
A-n65-k9,32,"57,13,2,47,60,46,34|19,48,32,35,29,50,38,8,10,63|44,56,12,42,16,23|26,61,45,14,58,3,52,4,24,49|22,7,36,59,53,31|11,6,18,9,51,37,54|39,33,1,15,40,30,25|43,64,17,28,62|20,21,55,41,5,27","57,13,2,47,60,46,34|19,48,32,35,29,50,38,8,10,63|44,56,12,42,16,23|26,61,45,14,58,3,52,4,24,49|22,7,36,59,53,31|11,6,18,9,51,37,54|39,33,1,15,40,30,25|43,64,17,28,62|20,21,55,41,5,27",3653,3653,True,True,shared_by_seed,shared_by_seed,132.53833,114.906296,0.489002,1.305004,2730,2523,True,True,True,True,True,-17.632034000000004,0.8160020000000001
A-n65-k9,33,"19,26,3,34,21,4,11,32,9,28|52,51,1,43,18,20,7,5|57,45,6,53,46,10,25,39,61|54,12,33,15,44,27,42|50,22,60,2,62,38,13|48,29,55,35,23,41,36|8,47,37,14,16,56|49,58,17,64,30|31,59,63,24,40","19,26,3,34,21,4,11,32,9,28|52,51,1,43,18,20,7,5|57,45,6,53,46,10,25,39,61|54,12,33,15,44,27,42|50,22,60,2,62,38,13|48,29,55,35,23,41,36|8,47,37,14,16,56|49,58,17,64,30|31,59,63,24,40",4290,4290,True,True,shared_by_seed,shared_by_seed,182.282791,150.851791,0.425002,1.650006,3314,2945,True,True,True,True,True,-31.43100000000001,1.2250040000000002
A-n65-k9,34,"57,11,51,38,58,12,40,42,46,16,61,32,18|37,53,56,63,14,48|19,4,59,44,21,34,28,13|45,3,39,52,9,26,5,17,35|49,60,54,22,33,47|50,6,23,27,7,30|25,62,55,24,20|36,43,10,29,41,15|64,1,2,8,31","57,11,51,38,58,12,40,42,46,16,61,32,18|37,53,56,63,14,48|19,4,59,44,21,34,28,13|45,3,39,52,9,26,5,17,35|49,60,54,22,33,47|50,6,23,27,7,30|25,62,55,24,20|36,43,10,29,41,15|64,1,2,8,31",3855,3855,True,True,shared_by_seed,shared_by_seed,159.965927,114.395226,0.416003,0.963003,3052,2517,True,True,True,True,True,-45.570701,0.547
A-n65-k9,35,"19,26,60,40,28,57,12,37,47|29,7,35,13,51,21,52,14,44,32|45,42,25,5,36,48,6,22,50,4|11,20,59,30,15,17|61,16,2,38,8,62,58|33,54,3,56,63|41,27,49,39,53,18,34|64,1,46,10,24,55|31,9,43,23","19,26,60,40,28,57,12,37,47|29,7,35,13,51,21,52,14,44,32|45,42,25,5,36,48,6,22,50,4|11,20,59,30,15,17|61,16,2,38,8,62,58|33,54,3,56,63|41,27,49,39,53,18,34|64,1,46,10,24,55|31,9,43,23",3534,3534,True,True,shared_by_seed,shared_by_seed,125.042595,115.161835,0.377001,0.747003,2642,2526,True,True,True,True,True,-9.88076000000001,0.370002
A-n65-k9,36,"11,52,59,29,19,48,51,12,32,10,31|45,41,35,14,21,8,28,53|61,26,57,7,20,34,27,24|2,60,63,37,40|18,36,23,30,4,22,16|42,1,62,44,3,33,49|38,6,55,56,17|58,54,43,50,13,47|25,39,15,5,64,9,46","11,52,59,29,19,48,51,12,32,10,31|45,41,35,14,21,8,28,53|61,26,57,7,20,34,27,24|2,60,63,37,40|18,36,23,30,4,22,16|42,1,62,44,3,33,49|38,6,55,56,17|58,54,43,50,13,47|25,39,15,5,64,9,46",3949,3949,True,True,shared_by_seed,shared_by_seed,166.18399,142.930145,0.391001,0.863003,3125,2852,True,True,True,True,True,-23.253844999999984,0.472002
A-n65-k9,37,"4,48,56,39,16,27,50,2|32,46,15,26,25,49,45,37,51,47,7|61,19,52,13,8,63,23,11,62|42,22,31,60,43,41|35,57,9,55,54,38,3|17,34,59,1,58,29|10,53,44,33,28|40,6,20,24,18,12|21,64,14,30,5,36","4,48,56,39,16,27,50,2|32,46,15,26,25,49,45,37,51,47,7|61,19,52,13,8,63,23,11,62|42,22,31,60,43,41|35,57,9,55,54,38,3|17,34,59,1,58,29|10,53,44,33,28|40,6,20,24,18,12|21,64,14,30,5,36",3531,3531,True,True,shared_by_seed,shared_by_seed,138.671204,114.310051,0.389001,1.023004,2802,2516,True,True,True,True,True,-24.361152999999987,0.6340030000000001
A-n65-k9,38,"21,31,27,7,47,19,56,48|61,45,5,23,58,34,16,37|11,26,12,13,36,59,2,15,38|32,57,52,62,3,41,25,44|18,4,8,39,24,17,28|35,6,9,33,40,55|51,63,49,46,22,42,60,50|30,20,64,43,1|10,14,53,29,54","21,31,27,7,47,19,56,48|61,45,5,23,58,34,16,37|11,26,12,13,36,59,2,15,38|32,57,52,62,3,41,25,44|18,4,8,39,24,17,28|35,6,9,33,40,55|51,63,49,46,22,42,60,50|30,20,64,43,1|10,14,53,29,54",3899,3899,True,True,shared_by_seed,shared_by_seed,154.258942,129.301529,0.426002,0.749002,2985,2692,True,True,True,True,True,-24.957413000000003,0.3229999999999999
A-n65-k9,39,"26,61,48,54,32,50,45,10,33,47,3|43,11,49,7,22,62,9|59,42,19,29,4,58,5,39,31|46,8,28,53,23,57,38|20,6,51,35,44,52,21|55,24,60,30,18|13,37,16,1,25,14,40|17,56,27,15,36|64,2,12,41,63|34","26,61,48,54,32,50,45,10,33,47,3|43,11,49,7,22,62,9|59,42,19,29,4,58,5,39,31|46,8,28,53,23,57,38|20,6,51,35,44,52,21|55,24,60,30,18|13,37,16,1,25,14,40|17,56,27,15,36|64,2,12,41,63|34",3841,3841,True,True,shared_by_seed,shared_by_seed,165.332199,127.342415,0.400002,2.339009,3115,2669,True,True,True,True,True,-37.989784,1.939007
A-n65-k9,40,"45,42,13,26,59,62,39,16,40,58,19|48,21,7,56,3,1,44|61,25,9,43,51,31|32,57,41,50,37,4,10,18,53|27,28,17,33,12,23|54,49,11,38,34,63,5,52|46,29,60,8,47,14,22|15,2,36,35,55,6|64,24,30,20","45,42,13,26,59,62,39,16,40,58,19|48,21,7,56,3,1,44|61,25,9,43,51,31|32,57,41,50,37,4,10,18,53|27,28,17,33,12,23|54,49,11,38,34,63,5,52|46,29,60,8,47,14,22|15,2,36,35,55,6|64,24,30,20",3700,3700,True,True,shared_by_seed,shared_by_seed,140.374786,113.798973,0.379002,0.736002,2822,2510,True,True,True,True,True,-26.575813,0.357
A-n65-k9,41,"39,63,46,34,47,54,50|19,53,36,43,22,30|26,49,57,15,8,13,25,18,45,62|59,44,20,58,11,48,33|1,32,38,2,37,10,21,12|61,7,51,40,55,52,23,6|42,5,60,35,24,14,16,4|41,56,29,9,17|3,27,28,31,64","39,63,46,34,47,54,50|19,53,36,43,22,30|26,49,57,15,8,13,25,18,45,62|59,44,20,58,11,48,33|1,32,38,2,37,10,21,12|61,7,51,40,55,52,23,6|42,5,60,35,24,14,16,4|41,56,29,9,17|3,27,28,31,64",3151,3151,True,True,shared_by_seed,shared_by_seed,109.454857,97.359451,0.411001,0.330001,2459,2317,True,True,True,True,True,-12.095405999999995,-0.081
A-n65-k9,42,"19,5,26,45,53,23,3,43|61,11,22,24,59,4,8,9|17,49,51,20,2,38|57,42,27,29,7,54,52,21,37|39,15,34,13,10,32,18,35,31|48,46,12,6,47,36,25|28,63,50,60,58|56,16,44,33,30|64,41,40,55,62,1|14","19,5,26,45,53,23,3,43|61,11,22,24,59,4,8,9|17,49,51,20,2,38|57,42,27,29,7,54,52,21,37|39,15,34,13,10,32,18,35,31|48,46,12,6,47,36,25|28,63,50,60,58|56,16,44,33,30|64,41,40,55,62,1|14",3698,3698,True,True,shared_by_seed,shared_by_seed,143.952301,119.84668,0.388002,1.578006,2864,2581,True,True,True,True,True,-24.105621,1.190004
A-n65-k9,43,"45,19,5,46,11,39,48,56,31,54|32,34,61,22,20,29,1,3|26,27,62,23,42,63,10|57,25,49,55,16,51,59,41|35,33,53,14,37,52,18,58|44,17,50,60,8|4,40,13,12,2,9,38|30,43,24,21,28|64,47,6,15,7,36","45,19,5,46,11,39,48,56,31,54|32,34,61,22,20,29,1,3|26,27,62,23,42,63,10|57,25,49,55,16,51,59,41|35,33,53,14,37,52,18,58|44,17,50,60,8|4,40,13,12,2,9,38|30,43,24,21,28|64,47,6,15,7,36",3967,3967,True,True,shared_by_seed,shared_by_seed,171.635437,140.545135,0.384001,1.772007,3189,2824,True,True,True,True,True,-31.09030200000001,1.388006
A-n65-k9,44,"19,48,34,37,7,40,31,28|5,18,55,8,39,58,22,15|4,59,36,33,12,21,27,14|42,35,2,29,52,11,49,62,47|46,50,10,54,25,20|32,41,6,13,44,24,61,38|16,60,1,30,63,45,26|51,56,57,53,3,23|64,17,43,9","19,48,34,37,7,40,31,28|5,18,55,8,39,58,22,15|4,59,36,33,12,21,27,14|42,35,2,29,52,11,49,62,47|46,50,10,54,25,20|32,41,6,13,44,24,61,38|16,60,1,30,63,45,26|51,56,57,53,3,23|64,17,43,9",3736,3736,True,True,shared_by_seed,shared_by_seed,141.311752,123.339012,0.420002,0.759002,2833,2622,True,True,True,True,True,-17.972740000000016,0.3389999999999999
A-n65-k9,45,"19,29,32,46,62,6,20,48,15|26,11,42,52,10,7,51,45,2,61,12,14|35,21,28,3,13,8,59,33|57,22,27,49,23,9,5|18,16,43,55,41,17|39,40,36,30,34,37|54,56,24,4,44|64,25,58,63,60|50,38,47,53,1,31","19,29,32,46,62,6,20,48,15|26,11,42,52,10,7,51,45,2,61,12,14|35,21,28,3,13,8,59,33|57,22,27,49,23,9,5|18,16,43,55,41,17|39,40,36,30,34,37|54,56,24,4,44|64,25,58,63,60|50,38,47,53,1,31",3824,3824,True,True,shared_by_seed,shared_by_seed,157.410568,131.090302,0.388001,2.939012,3022,2713,True,True,True,True,True,-26.320266000000004,2.551011
A-n65-k9,46,"33,37,26,55,45,10,51,3,21|19,32,58,62,20,49,63|11,22,48,15,42,46,24,31,12,52|61,27,13,47,14,56,60|35,18,38,28,8,41,34,59|57,40,54,17,39,4,1,16|50,7,23,5,6,36|29,2,43,25,64|44,9,30,53","33,37,26,55,45,10,51,3,21|19,32,58,62,20,49,63|11,22,48,15,42,46,24,31,12,52|61,27,13,47,14,56,60|35,18,38,28,8,41,34,59|57,40,54,17,39,4,1,16|50,7,23,5,6,36|29,2,43,25,64|44,9,30,53",4468,4468,True,True,shared_by_seed,shared_by_seed,211.413986,165.587738,0.378001,0.851003,3656,3118,True,True,True,True,True,-45.82624799999999,0.473002
A-n65-k9,47,"45,3,28,38,17,53,15|62,8,27,42,51,1,26,9|48,19,57,59,20,55,14,12,22|16,37,46,47,33,4,35,49,39,18|11,5,44,10,31,30|43,40,58,13,60,61,52,32|64,21,54,36,63,41|34,2,29,23,6|25,24,7,50,56","45,3,28,38,17,53,15|62,8,27,42,51,1,26,9|48,19,57,59,20,55,14,12,22|16,37,46,47,33,4,35,49,39,18|11,5,44,10,31,30|43,40,58,13,60,61,52,32|64,21,54,36,63,41|34,2,29,23,6|25,24,7,50,56",3916,3916,True,True,shared_by_seed,shared_by_seed,154.77002,134.327087,0.373001,1.154004,2991,2751,True,True,True,True,True,-20.442932999999982,0.781003
A-n65-k9,48,"26,19,20,28,1,38,45,35,58,22|48,40,4,17,27,43,37|57,10,46,32,49,3,9,29|61,52,39,62,63,41,14,23|18,25,54,6,21,11,42,8|47,56,53,36,50,13|16,15,2,34,30,5|51,55,64,24,31,59|60,44,12,33,7","26,19,20,28,1,38,45,35,58,22|48,40,4,17,27,43,37|57,10,46,32,49,3,9,29|61,52,39,62,63,41,14,23|18,25,54,6,21,11,42,8|47,56,53,36,50,13|16,15,2,34,30,5|51,55,64,24,31,59|60,44,12,33,7",3846,3846,True,True,shared_by_seed,shared_by_seed,155.110733,122.487221,0.410002,0.468002,2995,2612,True,True,True,True,True,-32.623512000000005,0.0579999999999999
A-n65-k9,49,"59,28,25,14,10,38,62|19,15,24,9,8,27,32,51|5,48,53,12,13,63,23|50,22,47,20,33,26,29,41|57,55,45,7,36,4,49,30,61|11,44,37,39,40,6,42,16|18,46,17,31,2,21|52,64,1,3,56,35,54|60,34,43,58","59,28,25,14,10,38,62|19,15,24,9,8,27,32,51|5,48,53,12,13,63,23|50,22,47,20,33,26,29,41|57,55,45,7,36,4,49,30,61|11,44,37,39,40,6,42,16|18,46,17,31,2,21|52,64,1,3,56,35,54|60,34,43,58",4221,4221,True,True,shared_by_seed,shared_by_seed,167.206131,139.778534,0.395001,1.024004,3137,2815,True,True,True,True,True,-27.42759699999999,0.629003
