instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n65-k9,gap_percent,baseline-best,baseline-first,155.0255585,156.0051045,409.0,0.5492879434030096,0.09111111111111111,1.0,no_significativo
A-n65-k9,gap_percent,baseline-best,baseline-random,155.0255585,156.64395150000001,397.0,0.437596767542056,0.11777777777777777,1.0,no_significativo
A-n65-k9,gap_percent,baseline-best,efg-high-best,155.0255585,212.776825,8.0,6.687418899327976e-11,0.9822222222222222,2.3405966147647915e-09,significativo
A-n65-k9,gap_percent,baseline-best,efg-high-first,155.0255585,210.093697,10.0,8.138084870082533e-11,0.9777777777777777,2.685568007127236e-09,significativo
A-n65-k9,gap_percent,baseline-best,efg-high-random,155.0255585,204.5144805,18.0,1.7748524233246682e-10,0.96,5.1470720276415375e-09,significativo
A-n65-k9,gap_percent,baseline-best,efg-medium-best,155.0255585,198.21124300000002,60.0,8.476735207602058e-09,0.8666666666666667,1.7801143935964322e-07,significativo
A-n65-k9,gap_percent,baseline-best,efg-medium-first,155.0255585,193.90970650000003,38.0,1.1718795525749983e-09,0.9155555555555556,2.8125109261799958e-08,significativo
A-n65-k9,gap_percent,baseline-best,efg-medium-random,155.0255585,201.02214800000002,25.0,3.470304200455973e-10,0.9444444444444444,9.369821341231127e-09,significativo
A-n65-k9,gap_percent,baseline-first,baseline-random,156.0051045,156.64395150000001,419.0,0.6520165279024193,0.06888888888888889,1.0,no_significativo
A-n65-k9,gap_percent,baseline-first,efg-high-best,156.0051045,212.776825,11.0,8.988036657266591e-11,0.9755555555555555,2.876171730325309e-09,significativo
A-n65-k9,gap_percent,baseline-first,efg-high-first,156.0051045,210.093697,4.0,4.498775867703213e-11,0.9911111111111112,1.6195593123731565e-09,significativo
A-n65-k9,gap_percent,baseline-first,efg-high-random,156.0051045,204.5144805,9.0,7.384631524417236e-11,0.98,2.51077471830186e-09,significativo
A-n65-k9,gap_percent,baseline-first,efg-medium-best,156.0051045,198.21124300000002,44.0,2.0327543751496136e-09,0.9022222222222223,4.6753350628441114e-08,significativo
A-n65-k9,gap_percent,baseline-first,efg-medium-first,156.0051045,193.90970650000003,27.0,4.1950146075720133e-10,0.94,1.0907037979687235e-08,significativo
A-n65-k9,gap_percent,baseline-first,efg-medium-random,156.0051045,201.02214800000002,12.0,9.91273325385225e-11,0.9733333333333334,3.072947308694198e-09,significativo
A-n65-k9,gap_percent,baseline-random,efg-high-best,156.64395150000001,212.776825,13.5,1.1476568339371712e-10,0.97,3.4429705018115135e-09,significativo
A-n65-k9,gap_percent,baseline-random,efg-high-first,156.64395150000001,210.093697,20.0,2.1531641547226568e-10,0.9555555555555556,6.028859633223439e-09,significativo
A-n65-k9,gap_percent,baseline-random,efg-high-random,156.64395150000001,204.5144805,31.0,6.121039395876217e-10,0.9311111111111111,1.530259848969054e-08,significativo
