instance,ivns_profile,vnd_mode,metric,n,mean,std,median,q1,q3,iqr,min,max
A-n33-k5,efg-medium,best,elapsed_time_seconds,30,0.5221584000000001,0.07243633363862984,0.520525,0.4765225,0.5647760000000001,0.08825350000000004,0.365019,0.699034
A-n33-k5,efg-medium,first,gap_percent,30,114.94200846666666,27.448049573934536,115.3555185,95.95310375,130.4462965,34.49319274999999,71.860817,168.532532
A-n33-k5,efg-medium,first,elapsed_time_seconds,30,0.5408261333333333,0.07774891950141033,0.561527,0.487024,0.5952785,0.10825450000000003,0.360017,0.659031
A-n33-k5,efg-medium,random,gap_percent,30,111.54815850000001,20.042932755242624,107.488659,97.73070949999999,122.65506775,24.92435825000001,83.812401,177.155823
A-n33-k5,efg-medium,random,elapsed_time_seconds,30,0.5291589,0.06395860040539693,0.5205249999999999,0.4735235,0.57502825,0.10150475000000003,0.39902,0.654032
A-n65-k9,baseline,best,gap_percent,30,154.57694566666666,14.831702509639332,155.0255585,145.10220700000002,158.68825175,13.586044749999985,122.913124,186.626907
A-n65-k9,baseline,best,elapsed_time_seconds,30,0.38035176666666665,0.061482096155728944,0.376519,0.33176525,0.41751975,0.08575450000000001,0.279013,0.507025
A-n65-k9,baseline,first,gap_percent,30,155.31516173333335,10.718535741028026,156.0051045,148.7010305,160.58347750000001,11.882447000000013,138.415665,183.560486
A-n65-k9,baseline,first,elapsed_time_seconds,30,0.3897522333333333,0.055724902900664675,0.385019,0.35176775,0.42427075,0.07250299999999998,0.275013,0.524026
A-n65-k9,baseline,random,gap_percent,30,157.49858173333334,17.777462715918332,156.64395150000001,145.911419,170.99659,25.085171000000003,127.427605,191.908005
A-n65-k9,baseline,random,elapsed_time_seconds,30,0.40278613333333335,0.06073907038434175,0.41752,0.35626725000000004,0.442772,0.08650474999999996,0.286014,0.533025
A-n65-k9,efg-high,best,gap_percent,30,212.4162404666667,17.038090842477647,212.776825,205.4727365,222.91311299999998,17.440376499999985,157.410568,246.252136
A-n65-k9,efg-high,best,elapsed_time_seconds,30,0.7704372333333335,0.09995256686762197,0.7700370000000001,0.7192855,0.83254075,0.11325525000000003,0.528025,1.027049
A-n65-k9,efg-high,first,gap_percent,30,208.7251536666667,19.40889597136028,210.093697,194.20784,222.84922824999998,28.641388249999977,169.505966,259.454834
A-n65-k9,efg-high,first,elapsed_time_seconds,30,0.7416692,0.07292177625297984,0.743536,0.698033,0.7895387500000001,0.09150575000000005,0.604029,0.889043
A-n65-k9,efg-high,random,gap_percent,30,208.95229846666672,24.875412315326788,204.5144805,191.03492725,224.2546845,33.21975724999999,164.565582,261.499146
A-n65-k9,efg-high,random,elapsed_time_seconds,30,0.7511030000000002,0.06755178029916169,0.7380355000000001,0.7100347499999999,0.788038,0.07800325000000008,0.62703,0.904043
A-n65-k9,efg-medium,best,gap_percent,30,195.54798233333335,19.898501088633456,198.21124300000002,181.83560549999999,207.83644525,26.00083975000001,141.567291,232.793854
A-n65-k9,efg-medium,best,elapsed_time_seconds,30,0.5788279999999999,0.06731286763751941,0.5800295,0.5470254999999999,0.617029,0.07000350000000011,0.369017,0.718035
A-n65-k9,efg-medium,first,gap_percent,30,195.53094853333332,17.77938177858184,193.90970650000003,184.83815775,206.707844,21.86968625,157.069855,231.771729
A-n65-k9,efg-medium,first,elapsed_time_seconds,30,0.6174298666666667,0.060638792472585835,0.6285305,0.56852775,0.654031,0.08550325000000003,0.484024,0.712034
A-n65-k9,efg-medium,random,gap_percent,30,203.97217456666667,21.65750273404896,201.02214800000002,187.8194235,219.399479,31.580055500000014,167.035767,242.930145
A-n65-k9,efg-medium,random,elapsed_time_seconds,30,0.6099294666666667,0.054730505595510716,0.616031,0.57202825,0.64378,0.07175175,0.492023,0.740036
A-n80-k10,baseline,best,gap_percent,30,148.45150203333333,13.108395316567496,149.12081899999998,140.328979,155.81395,15.484971000000002,120.930229,180.828125
A-n80-k10,baseline,best,elapsed_time_seconds,30,0.46045553333333333,0.055225591177262744,0.468523,0.42927099999999996,0.492024,0.06275300000000006,0.320014,0.578028
A-n80-k10,baseline,first,gap_percent,30,147.8502566666667,13.68415030724983,146.9937665,136.74135225,155.44527075,18.703918499999986,122.915482,178.55928
