run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,ivns_profile,vnd_mode,variant,configuration,ivns_time,experiment_group
ivns_F-n135-k7_4,ivns,F-n135-k7,4,6,1,6365,6365,0,False,False,,,,,0,rffrfrfee,9,31,1,1,1,0,0,1,0,6,,8.991033,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_4,ivns,F-n135-k7,4,7,1,6365,6365,0,False,False,,,,,0,rffrgg,6,18,1,1,1,0,0,1,0,7,,10.509038,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_4,ivns,F-n135-k7,4,8,1,6365,6365,0,False,False,,,,,0,rffe,4,14,2,2,1,1,0,1,0,7,Complejidad excesiva: 39 > 36.,12.022044,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_4,ivns,F-n135-k7,4,9,1,6365,6365,0,False,False,,,,,0,rfrfe,5,17,1,1,1,0,0,1,0,7,,13.537049,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_4,ivns,F-n135-k7,4,10,1,6365,6365,0,False,False,,,,,0,raafrgc,7,20,1,1,1,0,0,1,0,8,,15.057056,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,1,1,6983,6983,0,False,False,,,,,0,rfg,3,9,5,5,1,4,0,1,0,1,Cadena desbalanceada por frecuencia de símbolos.,1.510004,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,2,1,6983,6983,0,False,False,,,,,0,rfrfrgg,7,21,1,1,1,0,0,1,0,2,,3.048011,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,3,1,6983,6983,0,False,False,,,,,0,rfrg,4,12,1,1,1,0,0,1,0,3,,4.557015,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,4,1,6983,6983,0,False,False,,,,,0,rarffeb,7,21,2,2,1,1,0,1,0,4,duplicated-string,6.087022,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,5,1,6983,6983,0,False,False,,,,,0,rfrfffee,8,28,5,5,1,4,0,1,0,5,Cadena desbalanceada por frecuencia de símbolos.,7.620027,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,6,1,6983,6983,0,False,False,,,,,0,rfffrfee,8,28,1,1,1,0,0,1,0,6,,9.158034,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,7,1,6983,6983,0,False,False,,,,,0,rfrfrfrfee,10,34,2,2,1,1,0,1,0,7,Complejidad excesiva: 42 > 36.,10.694038,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,8,1,6983,6983,0,False,False,,,,,0,rffe,4,14,3,3,1,2,0,1,0,8,Cadena desbalanceada por frecuencia de símbolos.,12.206045,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,9,1,6983,6983,0,False,False,,,,,0,rfrfrffee,9,31,2,2,1,1,0,1,0,9,duplicated-string,13.73905,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_5,ivns,F-n135-k7,5,10,1,6983,6983,0,False,False,,,,,0,rfaarfrfecg,11,34,3,3,1,2,0,1,0,10,duplicated-string,15.302055,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/best/trace-f-n135-k7-efg-high-best-time-1.50.csv,efg-high,best,efg-high-best,efg-high-best-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,1,1,6504,6504,-322,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,1,,0.22,ok,,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,2,1,6504,6504,0,False,False,,,,,0,rffferg,7,23,3,3,1,2,0,1,0,2,Complejidad excesiva: 42 > 36.,1.747006,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,3,1,6184,6184,-320,True,False,,,,,1,rarb,4,10,2,2,1,1,1,1,1,2,Complejidad excesiva: 40 > 36.,1.920007,ok,,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,4,1,6184,6184,0,False,False,,,,,0,rfrfrfrfee,10,34,1,1,1,0,0,1,0,3,,3.456012,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,5,1,6184,6184,0,False,False,,,,,0,rffferg,7,23,1,1,1,0,0,1,0,3,,4.981018,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,6,1,6184,6184,0,False,False,,,,,0,rafrffrfeeb,11,35,1,1,1,0,0,1,0,4,,6.551023,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,7,1,6184,6184,0,False,False,,,,,0,rararffec,9,28,1,1,1,0,0,1,0,5,,8.08103,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,8,1,6184,6184,0,False,False,,,,,0,rffrfrge,8,26,1,1,1,0,0,1,0,6,,9.607034,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,9,1,6184,6184,0,False,False,,,,,0,rfrg,4,12,1,1,1,0,0,1,0,7,,11.115041,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,10,1,6184,6184,0,False,False,,,,,0,rfrfrgg,7,21,1,1,1,0,0,1,0,8,,12.643046,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,1,1,6067,6067,-325,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,1,,0.042,ok,,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,2,1,6067,6067,0,False,False,,,,,0,rfrffrfee,9,31,1,1,1,0,0,1,0,2,,1.593006,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,3,1,6067,6067,0,False,False,,,,,0,rfrfe,5,17,1,1,1,0,0,1,0,3,,3.105012,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,4,1,6067,6067,0,False,False,,,,,0,rfrffffeeg,10,34,1,1,1,0,0,1,0,4,,4.658017,timeout,tiempo límite agotado aplicando criterio ivns: 1.5 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-1.50/first/trace-f-n135-k7-efg-high-first-time-1.50.csv,efg-high,first,efg-high-first,efg-high-first-t1.50,1.5,f_high_exploratory
