run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,experiment_group
ivns_A-n33-k5_2,ivns,A-n33-k5,2,1,1,1855,1855,-101,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,1,,0.010999,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,2,1,1730,1730,-125,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,2,,0.019999,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,3,1,1620,1620,-110,True,False,,,,,1,rfrg,4,12,2,2,1,1,1,1,1,3,Complejidad excesiva: 18 > 14.,0.063997,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,4,1,1529,1529,-91,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,3,,0.073997,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,5,1,1467,1467,-62,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,4,,0.079996,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,6,1,1383,1383,-84,True,False,,,,,1,rfg,3,9,2,2,1,1,1,1,1,4,Complejidad excesiva: 17 > 14.,0.089997,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,7,1,1307,1307,-76,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,5,,0.105002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,8,1,1263,1263,-44,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,5,,0.116006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,9,1,1220,1220,-43,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,5,Cadena desbalanceada por frecuencia de símbolos.,0.129009,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_2,ivns,A-n33-k5,2,10,1,1192,1192,-28,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,5,,0.144014,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,1,1,1456,1456,-193,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.026009,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,2,1,1424,1424,-32,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.059021,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,3,1,1238,1238,-186,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.094033,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,4,1,1133,1133,-105,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.135047,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,5,1,1055,1055,-78,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.17106,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,6,1,971,971,-84,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.215075,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,7,1,922,922,-49,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.256089,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,8,1,874,874,-48,True,True,1.0,0.0,3.0,1.0,3,,0,0,0,0,0,0,0,0,0,0,,0.296103,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,9,1,868,868,-6,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.334116,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_3,vns,A-n33-k5,3,10,1,855,855,-13,True,True,1.0,0.0,3.0,1.0,3,,0,0,0,0,0,0,0,0,0,0,,0.372129,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_3,ivns,A-n33-k5,3,1,1,1506,1506,-143,True,False,,,,,1,rab,3,7,3,3,1,2,1,1,1,1,Complejidad excesiva: 21 > 14.,0.008003,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_3,ivns,A-n33-k5,3,2,1,1440,1440,-66,True,False,,,,,1,rab,3,7,2,2,1,1,1,1,1,1,Complejidad excesiva: 22 > 14.,0.015005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_3,ivns,A-n33-k5,3,3,1,1322,1322,-118,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,2,,0.03001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_3,ivns,A-n33-k5,3,4,1,1322,1322,0,False,False,,,,,0,rfrg,4,12,1,1,1,0,0,1,0,3,,0.08803,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_3,ivns,A-n33-k5,3,5,1,1265,1265,-57,True,False,,,,,1,rfg,3,9,3,3,1,2,1,1,1,3,Complejidad excesiva: 23 > 14.,0.104036,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
