run_id,algorithm,instance,seed,known_best,max_iter,kmax,max_no_improve,shake_max_tries,generation_max_tries,vnd_mode,vnd_max_rounds,vnd_max_no_improve,time_limit_seconds,termination_reason,initial_cost,initial_solution_signature,initial_solution_shared_p,initial_solution_source,best_cost,final_cost,gap_percent,iterations,accepted_improvements,invalid_neighbors,no_improvement_neighbors,timeout_neighbors,neighbors_evaluated,generation_tries,elapsed_time_seconds,best_iteration,stagnation_iterations,feasible,status,error,ivns_string_length_avg,ivns_complexity_avg,ivns_max_neighborhood_seconds,ivns_reset_strings_on_improvement,ivns_candidates_per_iteration,ivns_candidate_selection_mode,ivns_exploration_rate,ivns_candidates_generated,ivns_candidates_valid,ivns_candidates_timeout,ivns_candidates_invalid,ivns_candidates_no_improvement,ivns_candidates_selected,ivns_candidate_success_rate,ivns_strings_generated_total,ivns_strings_valid_total,ivns_strings_invalid_total,ivns_strings_evaluated_total,ivns_strings_selected_total,ivns_strings_accepted_total,ivns_unique_strings_total,ivns_reject_too_many_r,ivns_reject_too_short,ivns_reject_too_long,ivns_reject_unbalanced,ivns_reject_missing_required_symbol,ivns_reject_forbidden_expensive_pattern,ivns_reject_semantic_invalid,ivns_reject_duplicated_string,ivns_reject_generation_limit_reached,ivns_reject_unknown,ivns_profile,mode_from_file
ivns_A-n65-k9_18,ivns,A-n65-k9,18,1174,10,2,5,5,50,random,3,2,60,max_iter,3811,"11,32,41,45,57,51,42,19,37,53,33,52,4|62,56,34,15,7,24|39,48,31,54,22,47,60|35,36,25,10,12,59,28|58,40,23,14,63,61,46|21,55,26,27,17,2|50,1,8,9,16,18,5|44,3,49,13,38,20|64,30,29,43,6",false,generated_inside_algorithm,3645,3645,210.476990,10,1,0,0,9,1,17,0.656033,3,0,true,ok,,6.400000,20.400000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,17,10,7,1,10,1,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_19,ivns,A-n65-k9,19,1174,10,2,5,5,50,random,3,2,60,max_iter,3538,"19,4,63,57,14,53,5,6|48,35,55,58,32,56,11,61,26,42,10|47,16,38,2,29,12,45,49|59,44,20,28,22,39|13,43,34,9,8|60,36,3,15,52,18,62|41,33,24,37,25,1,51|54,46,7,31,27,40|64,21,23,30,50|17",false,generated_inside_algorithm,3265,3265,178.109024,10,2,0,0,8,2,12,0.684033,6,0,true,ok,,6.100000,19.700000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,12,10,2,2,10,2,8,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_20,ivns,A-n65-k9,20,1174,10,2,5,5,50,random,3,2,60,max_iter,3741,"11,19,54,6,10,59,52,51,16|57,32,43,60,15,38,40,49|48,45,39,22,30,21,17,2|46,25,61,35,13,29,8,62,18,26|5,4,27,7,42,41,9,47|12,50,34,36,3,44|14,55,63,28,20|64,33,23,31,56|58,37,24,53,1",false,generated_inside_algorithm,3382,3382,188.074951,10,3,0,0,7,3,13,0.627030,7,0,true,ok,,6.300000,19.300000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,13,10,3,3,10,3,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_21,ivns,A-n65-k9,21,1174,10,2,5,5,50,random,3,2,60,max_iter,3792,"61,48,26,12,24,5,40,18,19,8,49|32,31,20,15,54,33,57|11,27,39,35,45,60,63,17|46,3,34,2,38,9|52,37,21,29,42,53,56|4,50,25,47,41,28,30|22,10,13,36,58,43|51,64,44,55,6,16|1,7,62,14,59,23",false,generated_inside_algorithm,3353,3353,185.604782,10,3,0,0,7,3,20,0.677033,7,0,true,ok,,6.400000,20.200000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,20,10,10,3,10,3,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_22,ivns,A-n65-k9,22,1174,10,2,5,5,50,random,3,2,60,max_iter,3409,"26,46,57,48,54,11,6,9,37|32,5,27,20,61,35,15,18,63|42,17,36,3,47,30|2,52,7,12,44,56|19,53,22,41,13,38,62,4,49|33,25,14,16,28,29,51,39,45|21,59,60,10,24,1|64,58,34,8,40,50|31,55,43,23",false,generated_inside_algorithm,3240,3240,175.979553,10,1,0,0,9,1,21,0.794039,7,0,true,ok,,6.600000,20.700000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,21,10,11,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_23,ivns,A-n65-k9,23,1174,10,2,5,5,50,random,3,2,60,max_iter,3925,"19,53,30,7,21,6,14|41,59,16,63,18,5,61,39,1,32|51,37,15,12,48,55,58,27|45,36,25,44,52,3,29|49,47,13,23,31,34|11,42,9,50,35,20,26,56|57,2,17,8,60,46|33,43,62,28,22,10|4,64,54,40,38,24",false,generated_inside_algorithm,3404,3404,189.948898,10,4,0,0,6,4,12,0.636030,9,0,true,ok,,5.900000,18.900000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,12,10,2,4,10,4,8,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_24,ivns,A-n65-k9,24,1174,10,2,5,5,50,random,3,2,60,max_iter,3961,"19,26,48,58,20,61,45,2,49,5|35,52,39,7,55,42,46,60,10|11,12,3,34,8,15,56|51,21,40,33,63,54,59|32,1,41,18,23,43,13,22|62,47,17,14,16,24|30,4,31,50,9,57|37,6,28,36,44|25,27,38,53,64,29",false,generated_inside_algorithm,3791,3791,222.913116,10,1,0,0,9,1,17,0.788038,9,0,true,ok,,7.500000,24.400000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,17,10,7,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_25,ivns,A-n65-k9,25,1174,10,2,5,5,50,random,3,2,60,max_iter,3693,"19,18,34,2,60,45,54,26,48|61,4,42,50,9,17,10,5|32,16,51,43,1,44,11,52,13|35,28,8,53,21,7,37|39,57,62,56,58,63,46|41,55,30,47,27,49|38,15,29,25,12,3,22,14|40,36,33,59,6,24|31,20,23,64",false,generated_inside_algorithm,3561,3561,203.321976,10,1,0,0,9,1,19,0.738035,3,0,true,ok,,6.900000,22.200000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,19,10,9,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_26,ivns,A-n65-k9,26,1174,10,2,5,5,50,random,3,2,60,max_iter,3643,"29,42,13,38,60,12,51,46,33,45,32|3,44,2,58,61,47|37,19,49,15,28,6,17|56,8,16,27,9,57|11,48,22,26,53,4,20,62,50|40,55,18,10,23,59,39|41,36,31,63,24|34,21,54,52,35,5,25,7|1,30,64,43,14",false,generated_inside_algorithm,3502,3502,198.296432,10,1,0,0,9,1,14,0.779038,8,0,true,ok,,7.100000,22.300000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,14,10,4,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_27,ivns,A-n65-k9,27,1174,10,2,5,5,50,random,3,2,60,max_iter,3546,"19,42,55,61,50,51,10,35,14,49,18,11|27,5,30,36,23,12|38,21,52,53,4,8,63,57|33,26,43,6,60,34|45,48,13,16,40,32,1,25,54,46|22,29,24,41,47,15,62|39,44,58,9,2|17,31,64,56,37|3,7,20,59,28",false,generated_inside_algorithm,3389,3389,188.671204,10,1,0,0,9,1,18,0.763037,6,0,true,ok,,6.800000,22.200000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,18,10,8,1,10,1,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
